Model,Dependent,Term,Coef,Robust_SE_HC3,t,p_value,N,R2,Adj_R2
10B_BDTI_CCI,Abs-return vulnerability,BDTI_Return,0.05232305082174309,0.01984692644639386,2.636330162409104,0.008380814246199056,4191,0.03566865950635556,0.03220399600757595
10B_BDTI_CCI,Abs-return vulnerability,CGRI_Equal_Weighted,-0.002828310759938485,0.03627320029905468,-0.07797246277197642,0.9378499578107252,4191,0.03566865950635556,0.03220399600757595
10B_BDTI_CCI,Abs-return vulnerability,CCI_Baseline_Recomputed,-13.93475184436568,3.395100043862463,-4.104371495489922,4.054155454750543e-05,4191,0.03566865950635556,0.03220399600757595
10C_CGRI_Max_CCI,Abs-return vulnerability,CGRI_Max_x_CCI,-0.18810805811138,0.08109615137886385,-2.319568252167473,0.02036424495461144,5504,0.03026517472237622,0.02743744423131689
10C_CGRI_Max_CCI,Abs-return vulnerability,CGRI_Max_Component,0.1377119083749826,0.04741079414988499,2.904653061486773,0.003676603871189748,5504,0.03026517472237622,0.02743744423131689
10C_CGRI_Max_CCI,Abs-return vulnerability,CCI_Baseline_Recomputed,-13.43416277867583,2.624362437504617,-5.119019608987295,3.071280307753983e-07,5504,0.03026517472237622,0.02743744423131689
10D_China_Excluded,Abs-return vulnerability,CGRI_x_CCI,-0.4866881352020699,0.2256382577596096,-2.156939785098755,0.03101035649087623,4376,0.02527414231735814,0.02192072766936748
10D_China_Excluded,Abs-return vulnerability,CGRI_Equal_Weighted,0.3132758961644324,0.1118865584842511,2.799942195098694,0.005111175838710923,4376,0.02527414231735814,0.02192072766936748
10D_China_Excluded,Abs-return vulnerability,CCI_Baseline_Recomputed,-16.76163187899632,4.457019173278893,-3.76072689556444,0.0001694203218801642,4376,0.02527414231735814,0.02192072766936748
10A_OVX_CCI,FX volatility,OVX_x_CCI,-0.00171198753548775,0.02221020251328966,-0.07708113127124204,0.9385590034000136,6050,0.1540876053011925,0.1518441777667683
10A_OVX_CCI,FX volatility,OVX_Change,-0.0007188389002168904,0.01205818178521388,-0.05961420328712849,0.9524629059014236,6050,0.1540876053011925,0.1518441777667683
10A_OVX_CCI,FX volatility,CGRI_Equal_Weighted,0.03340769922377228,0.02973045760637876,1.123686008001591,0.2611462542990018,6050,0.1540876053011925,0.1518441777667683
10A_OVX_CCI,FX volatility,CCI_Baseline_Recomputed,-62.01193271384999,2.771170669631249,-22.37752203190781,6.516671462095833e-111,6050,0.1540876053011925,0.1518441777667683
10B_BDI_CCI,FX volatility,BDI_x_CCI,-0.01164358984231585,0.0167942011886977,-0.6933101319610155,0.4881149459810787,6050,0.1541495538623153,0.1519062906204451
10B_BDI_CCI,FX volatility,BDI_Return,-0.0005256189084665749,0.009421022251986034,-0.05579213108808546,0.9555074036634423,6050,0.1541495538623153,0.1519062906204451
10B_BDI_CCI,FX volatility,CGRI_Equal_Weighted,0.03340133542529404,0.02972040422574989,1.12385198975036,0.2610758215667843,6050,0.1541495538623153,0.1519062906204451
10B_BDI_CCI,FX volatility,CCI_Baseline_Recomputed,-61.96249902182861,2.772714563800384,-22.34723322436065,1.284612971272306e-110,6050,0.1541495538623153,0.1519062906204451
10B_BDTI_CCI,FX volatility,BDTI_x_CCI,-0.05441811812167051,0.03335361171772017,-1.631550987108216,0.1027741105195972,4620,0.2028984428906194,0.2003014569313143
10B_BDTI_CCI,FX volatility,BDTI_Return,0.01637646586088795,0.01808917643397446,0.9053184881391415,0.3652966846169673,4620,0.2028984428906194,0.2003014569313143
